node_type_id model_type model_template dynamics_params pop_name gaba_synapse ei location population
480952106 point_process nest:glif_lif_asc_psc 480952106_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
515305346 point_process nest:glif_lif_asc_psc 515305346_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
336676216 point_process nest:glif_lif_asc_psc 336676216_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
313861608 point_process nest:glif_lif_asc_psc 313861608_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
478949560 point_process nest:glif_lif_asc_psc 478949560_glif_lif_asc_config.json i5Pvalb NULL i Cortex v1
478958894 point_process nest:glif_lif_asc_psc 478958894_glif_lif_asc_config.json i4Pvalb NULL i Cortex v1
487667205 point_process nest:glif_lif_asc_psc 487667205_glif_lif_asc_config.json i4Pvalb NULL i Cortex v1
324266189 point_process nest:glif_lif_asc_psc 324266189_glif_lif_asc_config.json i23Sst NULL i Cortex v1
476686112 point_process nest:glif_lif_asc_psc 476686112_glif_lif_asc_config.json i23Sst NULL i Cortex v1
324493977 point_process nest:glif_lif_asc_psc 324493977_glif_lif_asc_config.json i23Sst NULL i Cortex v1
474626527 point_process nest:glif_lif_asc_psc 474626527_glif_lif_asc_config.json i4Htr3a NULL i Cortex v1
313862167 point_process nest:glif_lif_asc_psc 313862167_glif_lif_asc_config.json i4Sst NULL i Cortex v1
501282204 point_process nest:glif_lif_asc_psc 501282204_glif_lif_asc_config.json i4Sst NULL i Cortex v1
318808427 point_process nest:glif_lif_asc_psc 318808427_glif_lif_asc_config.json e4Nr5a1 NULL e Cortex v1
370351753 point_process nest:glif_lif_asc_psc 370351753_glif_lif_asc_config.json e4Nr5a1 NULL e Cortex v1
422738880 point_process nest:glif_lif_asc_psc 422738880_glif_lif_asc_config.json e4Nr5a1 NULL e Cortex v1
386049446 point_process nest:glif_lif_asc_psc 386049446_glif_lif_asc_config.json e4Nr5a1 NULL e Cortex v1
318733871 point_process nest:glif_lif_asc_psc 318733871_glif_lif_asc_config.json e4Nr5a1 NULL e Cortex v1
482809953 point_process nest:glif_lif_asc_psc 482809953_glif_lif_asc_config.json e4Nr5a1 NULL e Cortex v1
476457450 point_process nest:glif_lif_asc_psc 476457450_glif_lif_asc_config.json e4Nr5a1 NULL e Cortex v1
476451456 point_process nest:glif_lif_asc_psc 476451456_glif_lif_asc_config.json e4Nr5a1 NULL e Cortex v1
386970660 point_process nest:glif_lif_asc_psc 386970660_glif_lif_asc_config.json e4Nr5a1 NULL e Cortex v1
475585413 point_process nest:glif_lif_asc_psc 475585413_glif_lif_asc_config.json i1Htr3a NULL i Cortex v1
478107198 point_process nest:glif_lif_asc_psc 478107198_glif_lif_asc_config.json i1Htr3a NULL i Cortex v1
482690728 point_process nest:glif_lif_asc_psc 482690728_glif_lif_asc_config.json i5Sst NULL i Cortex v1
478412623 point_process nest:glif_lif_asc_psc 478412623_glif_lif_asc_config.json i5Sst NULL i Cortex v1
478396248 point_process nest:glif_lif_asc_psc 478396248_glif_lif_asc_config.json i5Sst NULL i Cortex v1
464198958 point_process nest:glif_lif_asc_psc 464198958_glif_lif_asc_config.json i5Sst NULL i Cortex v1
475517090 point_process nest:glif_lif_asc_psc 475517090_glif_lif_asc_config.json i5Sst NULL i Cortex v1
480351780 point_process nest:glif_lif_asc_psc 480351780_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
476131588 point_process nest:glif_lif_asc_psc 476131588_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
480353286 point_process nest:glif_lif_asc_psc 480353286_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
484737013 point_process nest:glif_lif_asc_psc 484737013_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
354190013 point_process nest:glif_lif_asc_psc 354190013_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
480090260 point_process nest:glif_lif_asc_psc 480090260_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
479492633 point_process nest:glif_lif_asc_psc 479492633_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
518271679 point_process nest:glif_lif_asc_psc 518271679_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
517645929 point_process nest:glif_lif_asc_psc 517645929_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
476263004 point_process nest:glif_lif_asc_psc 476263004_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
468120757 point_process nest:glif_lif_asc_psc 468120757_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
476048909 point_process nest:glif_lif_asc_psc 476048909_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
480169178 point_process nest:glif_lif_asc_psc 480169178_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
324025297 point_process nest:glif_lif_asc_psc 324025297_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
484659182 point_process nest:glif_lif_asc_psc 484659182_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
320207387 point_process nest:glif_lif_asc_psc 320207387_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
469793303 point_process nest:glif_lif_asc_psc 469793303_glif_lif_asc_config.json e5noRbp4 NULL e Cortex v1
504608602 point_process nest:glif_lif_asc_psc 504608602_glif_lif_asc_config.json i6Sst NULL i Cortex v1
473564515 point_process nest:glif_lif_asc_psc 473564515_glif_lif_asc_config.json i6Sst NULL i Cortex v1
328549885 point_process nest:glif_lif_asc_psc 328549885_glif_lif_asc_config.json i6Sst NULL i Cortex v1
476104386 point_process nest:glif_lif_asc_psc 476104386_glif_lif_asc_config.json i6Sst NULL i Cortex v1
539742766 point_process nest:glif_lif_asc_psc 539742766_glif_lif_asc_config.json e6Ntsr1 NULL e Cortex v1
471819401 point_process nest:glif_lif_asc_psc 471819401_glif_lif_asc_config.json e6Ntsr1 NULL e Cortex v1
466632464 point_process nest:glif_lif_asc_psc 466632464_glif_lif_asc_config.json e6Ntsr1 NULL e Cortex v1
509003464 point_process nest:glif_lif_asc_psc 509003464_glif_lif_asc_config.json e6Ntsr1 NULL e Cortex v1
471789504 point_process nest:glif_lif_asc_psc 471789504_glif_lif_asc_config.json e6Ntsr1 NULL e Cortex v1
