edge_type_id dynamics_params model_template target_query source_query delay
162 AMPA_ExcToExc.json exp2syn node_type_id=='485836906'&pop_name=='e4Rorb' pop_name=='e5Rbp4' 2.5
163 AMPA_ExcToExc.json exp2syn node_type_id=='486502127'&pop_name=='e4Rorb' pop_name=='e5Rbp4' 2.5
164 AMPA_ExcToInh.json exp2syn node_type_id=='474626527'&pop_name=='i4Htr3a' pop_name=='e5Rbp4' 1.5
165 AMPA_ExcToInh.json exp2syn node_type_id=='313862167'&pop_name=='i4Sst' pop_name=='e5Rbp4' 1.5
166 AMPA_ExcToInh.json exp2syn node_type_id=='473016550'&pop_name=='i4Sst' pop_name=='e5Rbp4' 1.5
168 AMPA_ExcToExc.json exp2syn node_type_id=='318733871'&pop_name=='e4Nr5a1' pop_name=='e5Rbp4' 2.5
169 AMPA_ExcToExc.json exp2syn node_type_id=='318808427'&pop_name=='e4Nr5a1' pop_name=='e5Rbp4' 2.5
171 AMPA_ExcToExc.json exp2syn node_type_id=='370351753'&pop_name=='e4Nr5a1' pop_name=='e5Rbp4' 2.5
172 AMPA_ExcToExc.json exp2syn node_type_id=='386049446'&pop_name=='e4Nr5a1' pop_name=='e5Rbp4' 2.5
173 AMPA_ExcToExc.json exp2syn node_type_id=='397351623'&pop_name=='e4Nr5a1' pop_name=='e5Rbp4' 2.5
174 AMPA_ExcToExc.json exp2syn node_type_id=='422738880'&pop_name=='e4Nr5a1' pop_name=='e5Rbp4' 2.5
175 AMPA_ExcToExc.json exp2syn node_type_id=='475459689'&pop_name=='e4Nr5a1' pop_name=='e5Rbp4' 2.5
176 AMPA_ExcToExc.json exp2syn node_type_id=='476455864'&pop_name=='e4Nr5a1' pop_name=='e5Rbp4' 2.5
177 AMPA_ExcToExc.json exp2syn node_type_id=='476457450'&pop_name=='e4Nr5a1' pop_name=='e5Rbp4' 2.5
178 AMPA_ExcToExc.json exp2syn node_type_id=='314804042'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
180 AMPA_ExcToExc.json exp2syn node_type_id=='314831019'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
181 AMPA_ExcToExc.json exp2syn node_type_id=='320207387'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
182 AMPA_ExcToExc.json exp2syn node_type_id=='323865917'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
183 AMPA_ExcToExc.json exp2syn node_type_id=='324025297'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
184 AMPA_ExcToExc.json exp2syn node_type_id=='349621141'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
185 AMPA_ExcToExc.json exp2syn node_type_id=='354190013'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
186 AMPA_ExcToExc.json exp2syn node_type_id=='468120757'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
187 AMPA_ExcToExc.json exp2syn node_type_id=='468193142'&pop_name=='e5noRbp4' pop_name=='e5Rbp4' 1.5
