edge_type_id source_query target_query model_template delay dynamics_params
74 pop_name=='i4Pvalb' node_type_id=='518290966' static_synapse 0.9 i2e.json
75 pop_name=='i23Sst' node_type_id=='518290966' static_synapse 1.5 i2e.json
76 pop_name=='i4Htr3a' node_type_id=='518290966' static_synapse 1.5 i2e.json
77 pop_name=='i4Sst' node_type_id=='518290966' static_synapse 1.5 i2e.json
78 pop_name=='e4Nr5a1' node_type_id=='518290966' static_synapse 1.3 e2e.json
79 pop_name=='i1Htr3a' node_type_id=='518290966' static_synapse 3.8 i2e.json
80 pop_name=='i5Sst' node_type_id=='518290966' static_synapse 1.5 i2e.json
81 pop_name=='e5noRbp4' node_type_id=='518290966' static_synapse 2.5 e2e.json
82 pop_name=='i6Sst' node_type_id=='518290966' static_synapse 1.5 i2e.json
83 pop_name=='e6Ntsr1' node_type_id=='518290966' static_synapse 0.0 e2e.json
84 pop_name=='e5Rbp4' node_type_id=='318556138' static_synapse 1.2 e2i.json
85 pop_name=='e23Cux2' node_type_id=='318556138' static_synapse 1.2 e2i.json
86 pop_name=='i6Pvalb' node_type_id=='318556138' static_synapse 1.6 i2i.json
87 pop_name=='e4Scnn1a' node_type_id=='318556138' static_synapse 1.2 e2i.json
88 pop_name=='i23Pvalb' node_type_id=='318556138' static_synapse 1.6 i2i.json
89 pop_name=='i6Htr3a' node_type_id=='318556138' static_synapse 1.5 i2i.json
90 pop_name=='i5Htr3a' node_type_id=='318556138' static_synapse 1.5 i2i.json
91 pop_name=='i23Htr3a' node_type_id=='318556138' static_synapse 1.5 i2i.json
92 pop_name=='e4Rorb' node_type_id=='318556138' static_synapse 1.2 e2i.json
93 pop_name=='e4other' node_type_id=='318556138' static_synapse 1.2 e2i.json
94 pop_name=='i5Pvalb' node_type_id=='318556138' static_synapse 1.6 i2i.json
95 pop_name=='i4Pvalb' node_type_id=='318556138' static_synapse 1.6 i2i.json
96 pop_name=='i23Sst' node_type_id=='318556138' static_synapse 1.5 i2i.json
97 pop_name=='i4Htr3a' node_type_id=='318556138' static_synapse 1.5 i2i.json
98 pop_name=='i4Sst' node_type_id=='318556138' static_synapse 1.5 i2i.json
99 pop_name=='e4Nr5a1' node_type_id=='318556138' static_synapse 1.2 e2i.json
100 pop_name=='i1Htr3a' node_type_id=='318556138' static_synapse 3.8 i2i.json
101 pop_name=='i5Sst' node_type_id=='318556138' static_synapse 1.5 i2i.json
102 pop_name=='e5noRbp4' node_type_id=='318556138' static_synapse 1.2 e2i.json
103 pop_name=='i6Sst' node_type_id=='318556138' static_synapse 1.5 i2i.json
104 pop_name=='e6Ntsr1' node_type_id=='318556138' static_synapse 1.2 e2i.json
105 pop_name=='e5Rbp4' node_type_id=='471819401' static_synapse 1.8 e2e.json
106 pop_name=='e23Cux2' node_type_id=='471819401' static_synapse 0.0 e2e.json
107 pop_name=='i6Pvalb' node_type_id=='471819401' static_synapse 0.9 i2e.json
108 pop_name=='e4Scnn1a' node_type_id=='471819401' static_synapse 1.9 e2e.json
109 pop_name=='i23Pvalb' node_type_id=='471819401' static_synapse 0.9 i2e.json
110 pop_name=='i6Htr3a' node_type_id=='471819401' static_synapse 1.5 i2e.json
111 pop_name=='i5Htr3a' node_type_id=='471819401' static_synapse 1.5 i2e.json
112 pop_name=='i23Htr3a' node_type_id=='471819401' static_synapse 1.5 i2e.json
113 pop_name=='e4Rorb' node_type_id=='471819401' static_synapse 1.9 e2e.json
114 pop_name=='e4other' node_type_id=='471819401' static_synapse 1.9 e2e.json
115 pop_name=='i5Pvalb' node_type_id=='471819401' static_synapse 0.9 i2e.json
116 pop_name=='i4Pvalb' node_type_id=='471819401' static_synapse 0.9 i2e.json
117 pop_name=='i23Sst' node_type_id=='471819401' static_synapse 1.5 i2e.json
118 pop_name=='i4Htr3a' node_type_id=='471819401' static_synapse 1.5 i2e.json
119 pop_name=='i4Sst' node_type_id=='471819401' static_synapse 1.5 i2e.json
120 pop_name=='e4Nr5a1' node_type_id=='471819401' static_synapse 1.9 e2e.json
121 pop_name=='i1Htr3a' node_type_id=='471819401' static_synapse 3.8 i2e.json
122 pop_name=='i5Sst' node_type_id=='471819401' static_synapse 1.5 i2e.json
123 pop_name=='e5noRbp4' node_type_id=='471819401' static_synapse 1.8 e2e.json
124 pop_name=='i6Sst' node_type_id=='471819401' static_synapse 1.5 i2e.json
125 pop_name=='e6Ntsr1' node_type_id=='471819401' static_synapse 1.8 e2e.json
126 pop_name=='e5Rbp4' node_type_id=='517982558' static_synapse 2.5 e2e.json
127 pop_name=='e23Cux2' node_type_id=='517982558' static_synapse 1.6 e2e.json
128 pop_name=='i6Pvalb' node_type_id=='517982558' static_synapse 0.9 i2e.json
129 pop_name=='e4Scnn1a' node_type_id=='517982558' static_synapse 1.3 e2e.json
130 pop_name=='i23Pvalb' node_type_id=='517982558' static_synapse 0.9 i2e.json
131 pop_name=='i6Htr3a' node_type_id=='517982558' static_synapse 1.5 i2e.json
132 pop_name=='i5Htr3a' node_type_id=='517982558' static_synapse 1.5 i2e.json
133 pop_name=='i23Htr3a' node_type_id=='517982558' static_synapse 1.5 i2e.json
134 pop_name=='e4Rorb' node_type_id=='517982558' static_synapse 1.3 e2e.json
135 pop_name=='e4other' node_type_id=='517982558' static_synapse 1.3 e2e.json
136 pop_name=='i5Pvalb' node_type_id=='517982558' static_synapse 0.9 i2e.json
137 pop_name=='i4Pvalb' node_type_id=='517982558' static_synapse 0.9 i2e.json
138 pop_name=='i23Sst' node_type_id=='517982558' static_synapse 1.5 i2e.json
139 pop_name=='i4Htr3a' node_type_id=='517982558' static_synapse 1.5 i2e.json
140 pop_name=='i4Sst' node_type_id=='517982558' static_synapse 1.5 i2e.json
141 pop_name=='e4Nr5a1' node_type_id=='517982558' static_synapse 1.3 e2e.json
142 pop_name=='i1Htr3a' node_type_id=='517982558' static_synapse 3.8 i2e.json
143 pop_name=='i5Sst' node_type_id=='517982558' static_synapse 1.5 i2e.json
144 pop_name=='e5noRbp4' node_type_id=='517982558' static_synapse 2.5 e2e.json
145 pop_name=='i6Sst' node_type_id=='517982558' static_synapse 1.5 i2e.json
146 pop_name=='e6Ntsr1' node_type_id=='517982558' static_synapse 0.0 e2e.json
147 pop_name=='e5Rbp4' node_type_id=='477135941' static_synapse 2.5 e2e.json
148 pop_name=='e23Cux2' node_type_id=='477135941' static_synapse 1.6 e2e.json
149 pop_name=='i6Pvalb' node_type_id=='477135941' static_synapse 0.9 i2e.json
150 pop_name=='e4Scnn1a' node_type_id=='477135941' static_synapse 1.3 e2e.json
151 pop_name=='i23Pvalb' node_type_id=='477135941' static_synapse 0.9 i2e.json
152 pop_name=='i6Htr3a' node_type_id=='477135941' static_synapse 1.5 i2e.json
153 pop_name=='i5Htr3a' node_type_id=='477135941' static_synapse 1.5 i2e.json
